iso_code,date,vaccine_id,total_vaccinations
CHL,17/06/2021,13,216157
CHL,17/06/2021,1,339659
CHL,17/06/2021,2,4014559
CHL,17/06/2021,4,16795396
CHL,18/06/2021,13,218533
CHL,18/06/2021,1,340350
CHL,18/06/2021,2,4052243
CHL,18/06/2021,4,16861824
CHL,19/06/2021,13,218811
CHL,19/06/2021,1,340466
CHL,19/06/2021,2,4063708
CHL,19/06/2021,4,16886613
CHL,20/06/2021,13,218823
CHL,20/06/2021,1,340476
CHL,20/06/2021,2,4064910
CHL,20/06/2021,4,16889313
CHL,21/06/2021,13,218901
CHL,21/06/2021,1,340563
CHL,21/06/2021,2,4073885
CHL,21/06/2021,4,16899127
CHL,22/06/2021,13,222663
CHL,22/06/2021,1,342091
CHL,22/06/2021,2,4229774
CHL,22/06/2021,4,17039195
CHL,23/06/2021,13,235078
CHL,23/06/2021,1,344036
CHL,23/06/2021,2,4339019
CHL,23/06/2021,4,17160685
CHL,24/06/2021,13,298625
CHL,24/06/2021,1,347110
CHL,24/06/2021,2,4419774
CHL,24/06/2021,4,17260659
CHL,25/06/2021,13,348704
CHL,25/06/2021,1,350710
CHL,25/06/2021,2,4487767
CHL,25/06/2021,4,17344907
CHL,26/06/2021,13,358776
CHL,26/06/2021,1,351816
CHL,26/06/2021,2,4507877
CHL,26/06/2021,4,17365481
CHL,27/06/2021,13,360031
CHL,27/06/2021,1,351899
CHL,27/06/2021,2,4509989
CHL,27/06/2021,4,17367555
CHL,28/06/2021,13,361256
CHL,28/06/2021,1,352046
CHL,28/06/2021,2,4512495
CHL,28/06/2021,4,17369070
CHL,29/06/2021,13,393153
CHL,29/06/2021,1,357336
CHL,29/06/2021,2,4637941
CHL,29/06/2021,4,17446980
CHL,30/06/2021,13,416048
CHL,30/06/2021,1,361174
CHL,30/06/2021,2,4762889
CHL,30/06/2021,4,17492591
CHL,1/07/2021,13,430053
CHL,1/07/2021,1,363920
CHL,1/07/2021,2,4893888
CHL,1/07/2021,4,17523112
CHL,2/07/2021,13,441515
CHL,2/07/2021,1,366222
CHL,2/07/2021,2,4988589
CHL,2/07/2021,4,17552946
CHL,3/07/2021,13,444945
CHL,3/07/2021,1,366768
CHL,3/07/2021,2,5010867
CHL,3/07/2021,4,17563590
CHL,4/07/2021,13,445346
CHL,4/07/2021,1,366833
CHL,4/07/2021,2,5013683
CHL,4/07/2021,4,17564634
CHL,5/07/2021,13,455748
CHL,5/07/2021,1,370324
CHL,5/07/2021,2,5080349
CHL,5/07/2021,4,17611744
CHL,6/07/2021,13,463335
CHL,6/07/2021,1,373565
CHL,6/07/2021,2,5136798
CHL,6/07/2021,4,17661363
CHL,7/07/2021,13,468129
CHL,7/07/2021,1,376321
CHL,7/07/2021,2,5220841
CHL,7/07/2021,4,17721853
CHL,8/07/2021,13,471990
CHL,8/07/2021,1,378305
CHL,8/07/2021,2,5288498
CHL,8/07/2021,4,17796038
CHL,9/07/2021,13,475906
CHL,9/07/2021,1,380408
CHL,9/07/2021,2,5348169
CHL,9/07/2021,4,17860431
CHL,10/07/2021,13,477479
CHL,10/07/2021,1,381371
CHL,10/07/2021,2,5370316
CHL,10/07/2021,4,17876194
CHL,11/07/2021,13,477650
CHL,11/07/2021,1,381438
CHL,11/07/2021,2,5373208
CHL,11/07/2021,4,17877795
CHL,12/07/2021,13,481726
CHL,12/07/2021,1,383815
CHL,12/07/2021,2,5431364
CHL,12/07/2021,4,17963895
CHL,13/07/2021,13,484559
CHL,13/07/2021,1,385492
CHL,13/07/2021,2,5519058
CHL,13/07/2021,4,18039858
CHL,14/07/2021,13,487274
CHL,14/07/2021,1,386876
CHL,14/07/2021,2,5583791
CHL,14/07/2021,4,18123549
CHL,15/07/2021,13,492579
CHL,15/07/2021,1,389894
CHL,15/07/2021,2,5644581
CHL,15/07/2021,4,18215308
